id,firstname,lastname,email,score,date_of_birth,university
76,Maurene,Schwejda,Maurene.Schwejda@mymail.com,6.42,2008-12-11,Keiser University (Latin American campus)
77,Zsa Zsa,Ramona,Zsa Zsa.Ramona@mymail.com,8.63,1927-12-01,George Mason University (Incheon campus)
78,Donetta,Niccolo,Donetta.Niccolo@mymail.com,9.75,2018-05-30,University of Utah (Incheon campus)
79,Arabel,Bonilla,Arabel.Bonilla@mymail.com,5.53,1947-09-04,American University of Paris
80,Meg,Bronk,Meg.Bronk@mymail.com,5.17,1912-01-20,University of Maryland Global Campus
81,Madeleine,Noelyn,Madeleine.Noelyn@mymail.com,7.6,1931-08-12,American College Dublin
82,Chickie,Neva,Chickie.Neva@mymail.com,7.8,2019-01-17,Stony Brook University (Korea campus)
83,Letizia,Hewitt,Letizia.Hewitt@mymail.com,6.17,2003-05-17,American University in Bulgaria
84,Nita,Charmine,Nita.Charmine@mymail.com,6.81,1980-08-21,American University in Bosnia and Herzegovina
85,Jolyn,Loring,Jolyn.Loring@mymail.com,7.92,1924-01-05,Kean University (Wenzhou campus)
86,Mariele,Wesle,Mariele.Wesle@mymail.com,1.31,2002-01-18,American College of Greece
87,Danny,Argus,Danny.Argus@mymail.com,6.1,1916-08-08,Kean University (Wenzhou campus)
88,Kaja,Stover,Kaja.Stover@mymail.com,9.33,1940-04-30,Central European University
89,Melodie,Dermott,Melodie.Dermott@mymail.com,8.07,1908-05-27,New York University (Florence campus)
90,Myriam,Randene,Myriam.Randene@mymail.com,1.29,1999-02-18,Schiller International University
91,Johna,Tjon,Johna.Tjon@mymail.com,7.31,1930-11-24,Kean University (Wenzhou campus)
92,Ernesta,Millda,Ernesta.Millda@mymail.com,10.19,1905-05-17,United States International University
93,Sybille,Muriel,Sybille.Muriel@mymail.com,7.7,1964-06-02,John Cabot University
94,Susette,Munn,Susette.Munn@mymail.com,4.6,1902-02-05,Webster University Geneva (Geneva campus)
95,Lynea,Garlinda,Lynea.Garlinda@mymail.com,1.29,1919-04-26,University of Utah (Incheon campus)
96,Hannis,Rillings,Hannis.Rillings@mymail.com,1.25,1938-03-26,University of Maryland Global Campus
97,Gaylene,Marijo,Gaylene.Marijo@mymail.com,2.17,2007-04-22,Girne American University
98,Alleen,Hashim,Alleen.Hashim@mymail.com,9.41,1941-08-03,Temple University (Rome campus)
99,Joelly,Annice,Joelly.Annice@mymail.com,8.32,1925-06-08,New York University (Abu Dhabi campus)
100,Bibby,Ambrosia,Bibby.Ambrosia@mymail.com,8.01,1907-01-13,American University in Dubai
101,Doralynne,Douglass,Doralynne.Douglass@mymail.com,7.91,1986-01-08,Stony Brook University (Korea campus)
102,Liana,Mich,Liana.Mich@mymail.com,4.81,1979-03-07,American University in Bulgaria
103,Krystle,Hubert,Krystle.Hubert@mymail.com,2.33,1987-06-17,Hult International Business School
104,Ashlee,Cassius,Ashlee.Cassius@mymail.com,5.15,1927-03-26,American University of Nigeria
105,Elena,Nea,Elena.Nea@mymail.com,10.34,1972-06-30,RIT Kosovo / American University in Kosovo
106,Suzette,Suzetta,Suzette.Suzetta@mymail.com,4.12,1912-02-21,St. John's University (Italy campus)
107,Maridel,Bettine,Maridel.Bettine@mymail.com,10.35,1995-11-06,St. John's University (Paris campus)
108,Adriana,Geffner,Adriana.Geffner@mymail.com,10.48,1925-01-01,American University in Dubai
109,Beth,Penelopa,Beth.Penelopa@mymail.com,2.26,2019-07-03,Richmond The American International University in London
110,Rosabelle,Cleo,Rosabelle.Cleo@mymail.com,2.34,1969-05-29,American College Dublin
111,Peri,Kussell,Peri.Kussell@mymail.com,6.36,1914-09-24,Hellenic American University
112,Kirstin,Ramona,Kirstin.Ramona@mymail.com,8.3,1942-04-27,Saint Louis University (Madrid campus)
113,Vanessa,Philipp,Vanessa.Philipp@mymail.com,6.99,1932-12-30,Temple University (Japan campus)
114,Averyl,Ortrude,Averyl.Ortrude@mymail.com,5.14,1990-03-27,Keiser University (Latin American campus)
115,Dorothy,Ingra,Dorothy.Ingra@mymail.com,7.77,1915-12-01,Hult International Business School
116,Cordi,Lalitta,Cordi.Lalitta@mymail.com,3.62,1927-08-18,American University of Nigeria
117,Shauna,Ioab,Shauna.Ioab@mymail.com,5.11,1913-08-16,Temple University (Japan campus)
118,Konstance,Martsen,Konstance.Martsen@mymail.com,6.89,2016-12-24,American University in Bulgaria
119,Orelia,Cosenza,Orelia.Cosenza@mymail.com,8.5,1986-12-20,American University of Beirut
120,Adore,Ochs,Adore.Ochs@mymail.com,3.61,1991-10-18,Saint Louis University (Madrid campus)
121,Gabriellia,Therine,Gabriellia.Therine@mymail.com,6.39,1937-06-17,New York University (Abu Dhabi campus)
122,Candi,Aldric,Candi.Aldric@mymail.com,2.95,1910-12-02,American University in Bosnia and Herzegovina
123,Lusa,Martsen,Lusa.Martsen@mymail.com,7.46,1982-02-04,Hellenic American University
124,Gisela,Fadiman,Gisela.Fadiman@mymail.com,7.95,2009-12-01,Temple University (Rome campus)
125,Amara,Socha,Amara.Socha@mymail.com,3.75,1920-07-03,Hellenic American University
126,Jacquetta,Milde,Jacquetta.Milde@mymail.com,4.3,1945-02-10,St. John's University (Italy campus)
127,Letizia,Noelyn,Letizia.Noelyn@mymail.com,5.26,1910-03-31,John Cabot University
128,Robbi,Atonsah,Robbi.Atonsah@mymail.com,8.28,1935-07-03,Temple University (Rome campus)
129,Keelia,Atcliffe,Keelia.Atcliffe@mymail.com,1.96,2012-04-01,Temple University (Rome campus)
130,Carolina,Erlandson,Carolina.Erlandson@mymail.com,4.24,1910-10-31,American University in Bulgaria
131,Emilia,Fax,Emilia.Fax@mymail.com,6.09,2006-10-02,John Cabot University
132,Di,Holtz,Di.Holtz@mymail.com,9.25,2007-03-28,Lebanese American University
133,Fayre,Egbert,Fayre.Egbert@mymail.com,5.77,1926-02-16,American University of Nigeria
134,Clarice,Sophronia,Clarice.Sophronia@mymail.com,2.41,2018-08-30,Lakeland University (Japan campus)
135,Veda,Marlie,Veda.Marlie@mymail.com,10.71,2003-12-16,American University of Antigua
136,Laurene,Arathorn,Laurene.Arathorn@mymail.com,4.12,1981-11-28,American University in Bulgaria
137,Aigneis,Killigrew,Aigneis.Killigrew@mymail.com,6.24,1903-12-11,Temple University (Rome campus)
138,Fanny,Talia,Fanny.Talia@mymail.com,9.57,2004-01-18,American College of Greece
139,Tracey,Myrilla,Tracey.Myrilla@mymail.com,5.98,1919-10-13,New York University (Abu Dhabi campus)
140,Kelly,Ventre,Kelly.Ventre@mymail.com,8.58,1932-05-06,Kean University (Wenzhou campus)
141,Brooks,Hull,Brooks.Hull@mymail.com,5.02,1954-12-27,American College Dublin
142,Kittie,Delacourt,Kittie.Delacourt@mymail.com,6.89,1961-08-20,United States International University
143,Selma,Edee,Selma.Edee@mymail.com,2.63,1928-06-08,Schiller International University
144,Tobe,Tyson,Tobe.Tyson@mymail.com,6.92,1960-09-14,American InterContinental University
145,Mariann,Hoban,Mariann.Hoban@mymail.com,2.32,1926-02-17,RIT Kosovo / American University in Kosovo
146,Annecorinne,Carri,Annecorinne.Carri@mymail.com,6.56,1937-05-19,St. John's University (Paris campus)
147,Dorene,Quinn,Dorene.Quinn@mymail.com,10.35,1937-08-12,American University in Bosnia and Herzegovina
148,Vivia,Gilmour,Vivia.Gilmour@mymail.com,3.97,1967-11-30,American University of Nigeria
149,Darlleen,Toni,Darlleen.Toni@mymail.com,6.18,1996-06-12,American University in Bosnia and Herzegovina
150,Johna,Kesley,Johna.Kesley@mymail.com,7.16,1912-10-23,Hellenic American University
151,Tonia,Phi,Tonia.Phi@mymail.com,10.67,1953-01-17,American InterContinental University
152,Britte,Ralfston,Britte.Ralfston@mymail.com,2.35,1935-11-13,Hult International Business School
153,Modestia,Wiener,Modestia.Wiener@mymail.com,7.89,1975-07-11,American InterContinental University
154,Randa,Yorick,Randa.Yorick@mymail.com,2.96,1961-10-17,The American University in Cairo
155,Christal,Henebry,Christal.Henebry@mymail.com,3.06,1999-05-22,American University of Paris
156,Georgina,Henrie,Georgina.Henrie@mymail.com,7.99,2016-12-28,Lakeland University (Japan campus)
157,Frieda,Lattie,Frieda.Lattie@mymail.com,2.82,1967-12-02,University of Utah (Incheon campus)
158,Merle,Kylander,Merle.Kylander@mymail.com,4.8,1944-02-24,The American University in Cairo
159,Janey,Goth,Janey.Goth@mymail.com,3.95,1988-07-09,American University in Dubai
160,Caressa,Modie,Caressa.Modie@mymail.com,2.68,2011-09-27,Central European University
161,Malina,Wind,Malina.Wind@mymail.com,1.45,1901-04-13,Girne American University
162,Hope,Ephrem,Hope.Ephrem@mymail.com,3,1906-06-11,American University of Nigeria
163,Laure,Edee,Laure.Edee@mymail.com,7.86,1971-04-24,Hult International Business School
164,Bettine,Jacinda,Bettine.Jacinda@mymail.com,5.88,1945-09-23,University of Maryland Global Campus
165,Eolanda,Arvo,Eolanda.Arvo@mymail.com,2.34,1939-04-18,American University of Rome
166,Lucy,Gladstone,Lucy.Gladstone@mymail.com,9.4,1938-08-03,American University of Paris
167,Ann-Marie,Eachern,Ann-Marie.Eachern@mymail.com,9.2,1996-04-11,United States International University
168,Heddie,Celestine,Heddie.Celestine@mymail.com,3.41,1995-05-02,Lakeland University (Japan campus)
169,Gavrielle,Chauncey,Gavrielle.Chauncey@mymail.com,10.15,1987-02-26,Schiller International University
170,Amelia,Bonilla,Amelia.Bonilla@mymail.com,1.74,1948-10-18,McDaniel College Budapest
171,Laure,Naor,Laure.Naor@mymail.com,9.49,1994-09-08,American University of Sharjah
172,Nickie,Bollay,Nickie.Bollay@mymail.com,5.69,2012-02-17,Girne American University
173,Flo,Weaks,Flo.Weaks@mymail.com,4.06,1913-12-07,Lebanese American University
174,Kaia,Arquit,Kaia.Arquit@mymail.com,2.48,1987-01-04,The American University in Cairo
175,Teddie,Magnolia,Teddie.Magnolia@mymail.com,6.91,1939-11-17,Keiser University (Latin American campus)
176,Sabina,Ioab,Sabina.Ioab@mymail.com,9.09,2001-12-11,Schiller International University
177,Adelle,MacIntosh,Adelle.MacIntosh@mymail.com,5.49,1915-11-15,American College of Greece
178,Aubrie,Brenn,Aubrie.Brenn@mymail.com,1.9,1920-05-08,St. John's University (Italy campus)
179,Candy,Faria,Candy.Faria@mymail.com,10.05,2005-03-30,RIT Kosovo / American University in Kosovo
180,Lucy,Zenas,Lucy.Zenas@mymail.com,8.38,2001-11-25,American College of Greece
181,Sam,Salchunas,Sam.Salchunas@mymail.com,7.99,1915-10-02,Keiser University (Latin American campus)
182,Mallory,Francyne,Mallory.Francyne@mymail.com,5.32,2019-04-25,Saint Louis University (Madrid campus)
183,Hayley,Chauncey,Hayley.Chauncey@mymail.com,4.69,2001-09-06,Lebanese American University
184,Adelle,Ochs,Adelle.Ochs@mymail.com,2.62,2007-05-23,American University of Armenia
185,Henriette,Elsinore,Henriette.Elsinore@mymail.com,6.22,1933-12-11,American College of Greece
186,Ofilia,Ajay,Ofilia.Ajay@mymail.com,2.16,1924-06-24,New York University (Abu Dhabi campus)
187,Teriann,Loring,Teriann.Loring@mymail.com,6.49,1911-12-10,Lebanese American University
188,Nicoli,Even,Nicoli.Even@mymail.com,1.31,1904-11-14,Hellenic American University
189,Nessie,Morgun,Nessie.Morgun@mymail.com,7.55,1981-05-01,New York University (Abu Dhabi campus)
190,Atlanta,Sancho,Atlanta.Sancho@mymail.com,3.23,1959-12-17,University of Utah (Incheon campus)
191,Jaime,Klotz,Jaime.Klotz@mymail.com,1.55,1986-07-09,St. John's University (Paris campus)
192,Blinni,Jefferey,Blinni.Jefferey@mymail.com,4.71,1960-08-01,United States International University
193,Roseline,Vanni,Roseline.Vanni@mymail.com,1.55,1937-01-01,John Cabot University
194,Fanny,Lubin,Fanny.Lubin@mymail.com,9.09,1938-09-26,American University in Dubai
195,Dennie,Bates,Dennie.Bates@mymail.com,6.44,1925-12-12,St. John's University (Italy campus)
196,Tersina,Sinegold,Tersina.Sinegold@mymail.com,6.53,1982-08-05,American University of Nigeria
197,Aili,Clara,Aili.Clara@mymail.com,5.03,1938-06-05,Lakeland University (Japan campus)
198,Lauryn,Redmond,Lauryn.Redmond@mymail.com,10.43,1917-09-25,Girne American University
199,Henriette,Nore,Henriette.Nore@mymail.com,1.29,1901-10-22,American University of Armenia
200,Ardeen,Seligman,Ardeen.Seligman@mymail.com,5.88,1987-11-03,RIT Kosovo / American University in Kosovo
201,Wileen,Afton,Wileen.Afton@mymail.com,6.76,1993-11-11,St. John's University (Italy campus)
202,Jeanna,Means,Jeanna.Means@mymail.com,6.42,1965-11-12,American University of Armenia
203,Esmeralda,Keelia,Esmeralda.Keelia@mymail.com,5.37,1964-02-14,American University of Beirut
204,Gilligan,Lilas,Gilligan.Lilas@mymail.com,5.29,2019-02-01,American University of Paris
205,Kellen,Kaete,Kellen.Kaete@mymail.com,9.5,1933-06-13,St. John's University (Paris campus)
206,Emma,Margarete,Emma.Margarete@mymail.com,10.65,1934-04-15,St. John's University (Italy campus)
207,Cordi,Dichy,Cordi.Dichy@mymail.com,4.2,1967-02-05,Kean University (Wenzhou campus)
208,Lorie,Obed,Lorie.Obed@mymail.com,2.43,1923-11-29,McDaniel College Budapest
209,Isa,Clara,Isa.Clara@mymail.com,5.71,1966-02-27,RIT Kosovo / American University in Kosovo
210,Flory,Glovsky,Flory.Glovsky@mymail.com,2.71,1961-08-01,University of Maryland Global Campus
211,Katuscha,Ovid,Katuscha.Ovid@mymail.com,1.75,1929-10-09,St. John's University (Paris campus)
212,Sashenka,Gombach,Sashenka.Gombach@mymail.com,10.23,1927-12-01,American University of Beirut
213,Daune,Moseley,Daune.Moseley@mymail.com,7.52,1993-07-22,New York University (Florence campus)
214,Evaleen,Zachary,Evaleen.Zachary@mymail.com,3.26,1961-10-14,American College of Thessaloniki (ACT)
215,Cindelyn,Wind,Cindelyn.Wind@mymail.com,10.15,1927-12-20,New York University (Abu Dhabi campus)
216,Ermengarde,Berard,Ermengarde.Berard@mymail.com,9.94,2012-06-03,Lebanese American University
217,Addia,Terrence,Addia.Terrence@mymail.com,9.69,1928-03-09,St. John's University (Italy campus)
218,Frieda,Parette,Frieda.Parette@mymail.com,3.4,1979-10-15,St. John's University (Italy campus)
219,Wendi,Ioab,Wendi.Ioab@mymail.com,6.59,1955-11-09,RIT Kosovo / American University in Kosovo
220,Nyssa,Lumbard,Nyssa.Lumbard@mymail.com,7.93,1949-08-03,Franklin University Switzerland
221,Asia,Bergman,Asia.Bergman@mymail.com,2.14,1909-11-07,RIT Kosovo / American University in Kosovo
222,Trixi,Mehalek,Trixi.Mehalek@mymail.com,3.93,2002-10-26,New York University (Abu Dhabi campus)
223,Tori,Sprage,Tori.Sprage@mymail.com,9.58,1932-04-25,Temple University (Rome campus)
224,Gusty,Middleton,Gusty.Middleton@mymail.com,3.9,1994-09-23,Schiller International University
225,Melina,Yate,Melina.Yate@mymail.com,4.26,1970-12-04,New York University (Florence campus)
226,Margalo,Jethro,Margalo.Jethro@mymail.com,1.19,1921-11-14,Central European University
227,Rosanne,Niccolo,Rosanne.Niccolo@mymail.com,3.44,1984-11-06,University of Maryland Global Campus
228,Riannon,Noman,Riannon.Noman@mymail.com,1.05,1947-07-07,Hult International Business School
229,Tersina,Melleta,Tersina.Melleta@mymail.com,9.7,1987-08-12,George Mason University (Incheon campus)
230,Marika,Hanleigh,Marika.Hanleigh@mymail.com,5.15,1906-12-17,Kean University (Wenzhou campus)
231,Addia,Ball,Addia.Ball@mymail.com,4.09,1932-03-27,Girne American University
232,Max,Meli,Max.Meli@mymail.com,6.87,1913-08-03,Temple University (Japan campus)
233,Michaelina,Tamsky,Michaelina.Tamsky@mymail.com,6.22,2019-11-06,American University of Antigua
234,Gerianna,Argus,Gerianna.Argus@mymail.com,7.78,2003-02-09,American University in Bulgaria
235,Yvonne,Howlyn,Yvonne.Howlyn@mymail.com,10.71,1990-08-04,American University of Sharjah
236,Vivia,Lymann,Vivia.Lymann@mymail.com,7.21,1959-02-11,Hellenic American University
237,Taffy,Vins,Taffy.Vins@mymail.com,1.75,1983-05-30,American University in Bosnia and Herzegovina
238,Benita,Persse,Benita.Persse@mymail.com,10.74,1968-11-16,American College of Thessaloniki (ACT)
239,Olwen,Lowry,Olwen.Lowry@mymail.com,7.99,1943-05-09,Hult International Business School
240,Lyssa,Waldron,Lyssa.Waldron@mymail.com,7.05,1928-06-08,Temple University (Japan campus)
241,Alyda,Bach,Alyda.Bach@mymail.com,5.05,2001-07-19,Franklin University Switzerland
242,Brooks,Tufts,Brooks.Tufts@mymail.com,3.29,1947-04-27,American College Dublin
243,Alisha,Lynn,Alisha.Lynn@mymail.com,7.85,2013-06-08,American University of Paris
244,Andeee,Rossner,Andeee.Rossner@mymail.com,9.66,1975-03-16,United States International University
245,Dotty,Jerold,Dotty.Jerold@mymail.com,2.34,1951-07-17,Girne American University
246,Eadie,Katrine,Eadie.Katrine@mymail.com,10.04,1929-08-30,Central European University
247,Ulrike,Peonir,Ulrike.Peonir@mymail.com,2.1,1980-12-01,American University in Bulgaria
248,Pollyanna,Oster,Pollyanna.Oster@mymail.com,7.8,1946-05-05,Central European University
249,Neila,Autrey,Neila.Autrey@mymail.com,7.6,1980-03-23,Kean University (Wenzhou campus)
250,Blinni,Dorcy,Blinni.Dorcy@mymail.com,7.72,1949-07-06,American University of Antigua
251,Margalo,Sperling,Margalo.Sperling@mymail.com,9.77,1940-06-29,The American University in Cairo
252,Gianina,Gaal,Gianina.Gaal@mymail.com,9.94,1941-05-21,Rochester Institute of Technology (Dubai campus)
253,Jessamyn,Jacinda,Jessamyn.Jacinda@mymail.com,2.95,1940-03-29,Girne American University
254,Imojean,Sophronia,Imojean.Sophronia@mymail.com,9.25,1908-09-16,Lebanese American University
255,Trixi,Publia,Trixi.Publia@mymail.com,3.47,1949-08-15,University of Maryland Global Campus
256,Kenna,Toni,Kenna.Toni@mymail.com,4.26,1981-04-27,John Cabot University
257,Gusty,Denis,Gusty.Denis@mymail.com,7.13,1901-03-04,Schiller International University
258,Brandise,Valerio,Brandise.Valerio@mymail.com,1.22,2014-12-17,Franklin University Switzerland
259,Hyacinthe,Berl,Hyacinthe.Berl@mymail.com,10.24,1971-11-30,McDaniel College Budapest
260,Rosaline,Fennessy,Rosaline.Fennessy@mymail.com,3.4,1987-04-12,American University of Nigeria
261,Joeann,Strephon,Joeann.Strephon@mymail.com,7.4,1947-03-31,George Mason University (Incheon campus)
262,Brooks,Gamaliel,Brooks.Gamaliel@mymail.com,2.11,2005-07-15,American College Dublin
263,Maye,Rudolph,Maye.Rudolph@mymail.com,3.86,1990-02-23,Keiser University (Latin American campus)
264,Dorice,McGrody,Dorice.McGrody@mymail.com,10.12,1909-06-16,RIT Kosovo / American University in Kosovo
265,Emilia,Roarke,Emilia.Roarke@mymail.com,10.51,1943-10-12,American University in Bulgaria
266,Benita,Ledah,Benita.Ledah@mymail.com,4.46,2012-07-12,John Cabot University
267,Madalyn,Ahab,Madalyn.Ahab@mymail.com,5.9,2000-01-02,American University of Antigua
268,Candi,Docilla,Candi.Docilla@mymail.com,1.1,1914-11-10,Rochester Institute of Technology (Dubai campus)
269,Claudina,Israeli,Claudina.Israeli@mymail.com,9.96,1951-01-27,University of Utah (Incheon campus)
270,Nananne,Pierette,Nananne.Pierette@mymail.com,10.71,1991-05-16,Lebanese American University
271,Christy,Karl,Christy.Karl@mymail.com,8.92,1961-01-27,American University of Beirut
272,Johna,Behre,Johna.Behre@mymail.com,1.18,1939-07-27,New York University (Buenos Aires campus)
273,Nariko,Weinreb,Nariko.Weinreb@mymail.com,7.16,1997-10-02,Kean University (Wenzhou campus)
274,Sybille,Kendrick,Sybille.Kendrick@mymail.com,4.41,1931-01-04,American University of Sharjah
275,Danny,Dudley,Danny.Dudley@mymail.com,9.83,2017-07-05,Temple University (Japan campus)
276,Dania,Wenda,Dania.Wenda@mymail.com,9.6,1904-09-06,Hult International Business School
277,Andree,Granoff,Andree.Granoff@mymail.com,3.59,1996-12-30,Keiser University (Latin American campus)
278,Minda,Gladstone,Minda.Gladstone@mymail.com,4.09,1981-06-18,Keiser University (Latin American campus)
279,Mara,Michella,Mara.Michella@mymail.com,4.53,1948-02-26,Temple University (Rome campus)
280,Farrah,Rona,Farrah.Rona@mymail.com,7.62,1953-08-10,United States International University
